action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.1692;0.1552;0.17;0.1672;0.1636;0.1748
0.0304;0.1872;0.194;0.198;0.1876;0.2028
0.03;0.1912;0.204;0.188;0.1868;0.2
0.0344;0.19;0.1988;0.194;0.1856;0.1972
0.0264;0.1916;0.198;0.1972;0.1876;0.1992
0.02;0.1928;0.208;0.188;0.1932;0.198
0.018;0.1936;0.206;0.1912;0.1896;0.2016
0.0284;0.1936;0.2032;0.1864;0.186;0.2024
0.0196;0.1912;0.2092;0.19;0.1864;0.2036
0.0188;0.1916;0.2072;0.1936;0.1896;0.1992
0.0208;0.194;0.2088;0.1916;0.1848;0.2
0.0188;0.192;0.2092;0.1916;0.1844;0.204
0.0136;0.1952;0.2132;0.19;0.1868;0.2012
0.0144;0.1996;0.212;0.1896;0.1848;0.1996
0.014;0.1944;0.2112;0.1916;0.1884;0.2004
0.0188;0.1996;0.2084;0.1864;0.1856;0.2012
0.0208;0.198;0.2048;0.1904;0.1812;0.2048
0.02;0.2032;0.2032;0.186;0.1852;0.2024
0.0132;0.1984;0.2076;0.1912;0.1832;0.2064
0.0108;0.2036;0.2056;0.1856;0.1868;0.2076
0.0144;0.2044;0.2068;0.1848;0.1828;0.2068
0.016;0.2056;0.2052;0.1856;0.182;0.2056
0.0112;0.2104;0.2048;0.19;0.1812;0.2024
0.014;0.2048;0.2068;0.1908;0.182;0.2016
0.0144;0.196;0.2092;0.1896;0.18;0.2108
0.0184;0.1956;0.2108;0.1948;0.1736;0.2068
0.0148;0.1956;0.2156;0.1892;0.1792;0.2056
0.0136;0.1988;0.2112;0.1932;0.1784;0.2048
0.0132;0.1968;0.2152;0.1952;0.1788;0.2008
0.0176;0.1928;0.2148;0.1952;0.176;0.2036
0.016;0.1912;0.2152;0.1976;0.176;0.204
0.0112;0.1996;0.2124;0.1984;0.174;0.2044
0.0152;0.1932;0.2116;0.1992;0.176;0.2048
0.0132;0.1968;0.2116;0.2024;0.1708;0.2052
0.0144;0.1936;0.2104;0.204;0.1768;0.2008
0.0136;0.196;0.2116;0.2032;0.174;0.2016
0.016;0.1952;0.212;0.2052;0.1736;0.198
0.0144;0.1988;0.2116;0.2052;0.1764;0.1936
0.0112;0.1956;0.2148;0.2068;0.1704;0.2012
0.0112;0.1956;0.2148;0.2076;0.1724;0.1984
0.0144;0.1968;0.21;0.2104;0.172;0.1964
0.0148;0.1936;0.218;0.208;0.1692;0.1964
0.0148;0.1964;0.2152;0.2048;0.168;0.2008
0.014;0.198;0.2132;0.206;0.1724;0.1964
0.0164;0.1944;0.2164;0.2096;0.1676;0.1956
0.0128;0.1956;0.214;0.2144;0.1692;0.194
0.014;0.2024;0.2092;0.2112;0.1696;0.1936
0.0136;0.1948;0.2116;0.2136;0.1684;0.198
0.018;0.196;0.2108;0.2196;0.166;0.1896
0.0128;0.1992;0.2144;0.2204;0.1648;0.1884
0.014;0.2024;0.21;0.216;0.1676;0.19
0.012;0.1996;0.2136;0.22;0.1672;0.1876
0.0132;0.2016;0.21;0.2148;0.1668;0.1936
0.0164;0.1972;0.21;0.2236;0.1648;0.188
0.0124;0.2012;0.2128;0.2204;0.164;0.1892
0.014;0.2032;0.2112;0.2224;0.164;0.1852
0.012;0.1976;0.2128;0.222;0.1664;0.1892
0.0164;0.1952;0.2144;0.224;0.1604;0.1896
0.0156;0.2;0.2092;0.2236;0.1624;0.1892
0.0152;0.196;0.2096;0.2304;0.1608;0.188
