action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.17;0.1716;0.1708;0.164;0.1708;0.1528
0.032;0.2024;0.1948;0.1824;0.2012;0.1872
0.036;0.198;0.1984;0.1872;0.198;0.1824
0.026;0.198;0.202;0.192;0.2032;0.1788
0.0248;0.2076;0.2012;0.1876;0.2024;0.1764
0.0204;0.2024;0.2008;0.1884;0.2056;0.1824
0.0204;0.2024;0.2032;0.1904;0.2068;0.1768
0.0128;0.2056;0.204;0.192;0.2064;0.1792
0.0156;0.2076;0.2016;0.1888;0.2068;0.1796
0.0136;0.2036;0.2016;0.1916;0.2028;0.1868
0.0156;0.2068;0.2016;0.1888;0.204;0.1832
0.0152;0.2072;0.2028;0.19;0.204;0.1808
0.0096;0.2056;0.2056;0.186;0.208;0.1852
0.0104;0.2076;0.2032;0.1908;0.2056;0.1824
0.008;0.2096;0.2028;0.1896;0.208;0.182
0.0112;0.2056;0.2068;0.19;0.204;0.1824
0.0136;0.2068;0.2016;0.1888;0.2036;0.1856
0.0124;0.2064;0.2044;0.1892;0.2064;0.1812
0.01;0.2028;0.2044;0.1924;0.2068;0.1836
0.0108;0.2072;0.204;0.1916;0.2024;0.184
0.008;0.2088;0.2036;0.1884;0.2076;0.1836
0.0124;0.2056;0.2032;0.188;0.2076;0.1832
0.0088;0.2088;0.2032;0.1892;0.2088;0.1812
0.008;0.2132;0.2044;0.1876;0.2068;0.18
0.006;0.2068;0.2064;0.194;0.2064;0.1804
0.0064;0.2096;0.2052;0.1916;0.206;0.1812
0.01;0.2108;0.21;0.1904;0.2016;0.1772
0.0092;0.2084;0.2064;0.1912;0.2028;0.182
0.0088;0.208;0.2032;0.1948;0.2032;0.182
0.0108;0.208;0.2076;0.1924;0.2012;0.18
0.0064;0.208;0.2064;0.1928;0.2064;0.18
0.01;0.2096;0.2064;0.1888;0.2044;0.1808
0.0112;0.204;0.2068;0.1912;0.2028;0.184
0.01;0.2088;0.204;0.192;0.2044;0.1808
0.0088;0.2084;0.2088;0.1912;0.2052;0.1776
0.0096;0.2056;0.208;0.1904;0.2032;0.1832
0.006;0.2052;0.2068;0.192;0.2068;0.1832
0.0104;0.2076;0.2032;0.1912;0.208;0.1796
0.0076;0.206;0.2072;0.1908;0.206;0.1824
0.0064;0.2048;0.2084;0.1932;0.2088;0.1784
0.0088;0.2092;0.2048;0.1916;0.2068;0.1788
0.008;0.206;0.2048;0.1912;0.208;0.182
0.014;0.2044;0.206;0.194;0.202;0.1796
0.0128;0.2056;0.2056;0.1936;0.2036;0.1788
0.0124;0.2072;0.2048;0.1932;0.2028;0.1796
0.0084;0.2092;0.2036;0.1932;0.202;0.1836
0.0048;0.21;0.202;0.1956;0.206;0.1816
0.0072;0.21;0.2032;0.1936;0.2036;0.1824
0.0068;0.2092;0.2044;0.1964;0.2;0.1832
0.0076;0.206;0.2028;0.1968;0.206;0.1808
0.0108;0.2092;0.2072;0.1928;0.2036;0.1764
0.0084;0.2104;0.2036;0.1964;0.2028;0.1784
0.0068;0.2072;0.2052;0.1984;0.2028;0.1796
0.0052;0.2072;0.208;0.1988;0.204;0.1768
0.0084;0.206;0.2084;0.1948;0.206;0.1764
0.0056;0.2072;0.2048;0.1964;0.2024;0.1836
0.0068;0.2068;0.2072;0.1964;0.2016;0.1812
0.0088;0.2072;0.2064;0.1956;0.202;0.18
0.006;0.2096;0.2056;0.198;0.1996;0.1812
0.0092;0.2116;0.2016;0.1984;0.2008;0.1784
0.0044;0.2084;0.206;0.1976;0.2008;0.1828
0.0096;0.2064;0.208;0.1944;0.1988;0.1828
0.0056;0.208;0.2076;0.1968;0.2028;0.1792
0.006;0.21;0.2056;0.1908;0.2016;0.186
0.0048;0.2068;0.2104;0.1948;0.1988;0.1844
