action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.172;0.172;0.136;0.188;0.172;0.16
0.016;0.212;0.16;0.224;0.188;0.2
0.02;0.216;0.172;0.204;0.188;0.2
0.044;0.204;0.156;0.2;0.196;0.2
0.016;0.212;0.164;0.208;0.196;0.204
0.02;0.196;0.16;0.228;0.192;0.204
0.016;0.192;0.156;0.212;0.204;0.22
0.024;0.196;0.16;0.208;0.204;0.208
0.008;0.188;0.172;0.208;0.212;0.212
0.008;0.2;0.16;0.212;0.216;0.204
0.02;0.196;0.168;0.212;0.2;0.204
0.02;0.208;0.172;0.212;0.196;0.192
0.024;0.2;0.168;0.216;0.192;0.2
0.008;0.2;0.172;0.208;0.2;0.212
0.016;0.196;0.168;0.22;0.196;0.204
0;0.192;0.188;0.204;0.204;0.212
0.008;0.204;0.16;0.216;0.2;0.212
0.004;0.204;0.168;0.228;0.2;0.196
0.004;0.212;0.164;0.216;0.2;0.204
0.012;0.2;0.18;0.212;0.192;0.204
0.008;0.196;0.184;0.216;0.2;0.196
0.008;0.208;0.176;0.208;0.196;0.204
0.004;0.204;0.172;0.224;0.196;0.2
0.004;0.2;0.172;0.224;0.192;0.208
0.004;0.2;0.168;0.224;0.2;0.204
0;0.2;0.172;0.22;0.2;0.208
0.02;0.204;0.168;0.212;0.192;0.204
0.008;0.2;0.176;0.22;0.196;0.2
0;0.204;0.168;0.228;0.192;0.208
0.004;0.196;0.172;0.228;0.196;0.204
0.004;0.2;0.176;0.212;0.196;0.212
0.004;0.2;0.168;0.216;0.196;0.216
0;0.208;0.172;0.22;0.196;0.204
0;0.2;0.172;0.216;0.208;0.204
0.004;0.2;0.176;0.224;0.192;0.204
0;0.2;0.176;0.228;0.196;0.2
0.004;0.2;0.164;0.228;0.192;0.212
0;0.204;0.172;0.22;0.2;0.204
0;0.204;0.172;0.22;0.2;0.204
0;0.204;0.172;0.228;0.192;0.204
0;0.196;0.176;0.228;0.192;0.208
0.004;0.2;0.164;0.22;0.2;0.212
