action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.1648;0.1684;0.1724;0.1576;0.1608;0.176
0.0456;0.2036;0.1948;0.1744;0.1808;0.2008
0.0416;0.1972;0.2064;0.1764;0.1816;0.1968
0.0292;0.1952;0.2016;0.1912;0.1844;0.1984
0.0272;0.2032;0.1964;0.182;0.1928;0.1984
0.0236;0.2028;0.2016;0.1776;0.1836;0.2108
0.022;0.2044;0.1992;0.1868;0.1864;0.2012
0.028;0.1988;0.192;0.1904;0.1832;0.2076
0.0232;0.2024;0.2012;0.1864;0.1836;0.2032
0.0188;0.2032;0.2024;0.1852;0.186;0.2044
0.0164;0.2032;0.2072;0.1856;0.186;0.2016
0.0164;0.2004;0.202;0.1884;0.1856;0.2072
0.0228;0.202;0.2028;0.1892;0.1824;0.2008
0.0184;0.2012;0.2084;0.1864;0.1848;0.2008
0.0184;0.202;0.2036;0.1872;0.1848;0.204
0.0208;0.206;0.1988;0.194;0.1868;0.1936
0.0188;0.2036;0.2008;0.1876;0.1932;0.196
0.0152;0.2012;0.2016;0.1916;0.192;0.1984
0.0124;0.2;0.2052;0.1932;0.1916;0.1976
0.0164;0.2;0.2044;0.192;0.1916;0.1956
0.016;0.2048;0.2084;0.1948;0.1888;0.1872
0.0148;0.2076;0.204;0.1968;0.1924;0.1844
0.0172;0.2032;0.2048;0.1976;0.1928;0.1844
0.0184;0.2044;0.2052;0.1936;0.1932;0.1852
0.02;0.2008;0.2072;0.2;0.1904;0.1816
0.018;0.2072;0.206;0.192;0.1932;0.1836
0.0196;0.2128;0.206;0.1964;0.188;0.1772
0.0148;0.2064;0.2112;0.1984;0.188;0.1812
0.0104;0.2064;0.2108;0.2004;0.1904;0.1816
0.014;0.2032;0.2124;0.1984;0.1896;0.1824
0.0152;0.2052;0.2072;0.202;0.19;0.1804
0.0164;0.2048;0.2072;0.2016;0.1872;0.1828
0.0168;0.2116;0.21;0.1996;0.1856;0.1764
0.0132;0.2052;0.212;0.2036;0.1868;0.1792
0.0208;0.1988;0.21;0.206;0.186;0.1784
0.0164;0.2052;0.2096;0.1992;0.1864;0.1832
0.0156;0.2052;0.212;0.2024;0.186;0.1788
0.0176;0.1992;0.2132;0.204;0.1848;0.1812
0.018;0.1968;0.2076;0.2044;0.1892;0.184
0.0144;0.2036;0.2144;0.2008;0.1852;0.1816
0.0148;0.2;0.2232;0.2036;0.1824;0.176
0.014;0.2;0.2128;0.2084;0.1864;0.1784
0.0112;0.1968;0.2188;0.206;0.1876;0.1796
0.0168;0.2004;0.2112;0.206;0.1864;0.1792
0.0168;0.1944;0.2152;0.2084;0.1856;0.1796
0.0144;0.1924;0.2172;0.21;0.1852;0.1808
0.0172;0.194;0.2088;0.2176;0.1852;0.1772
0.016;0.1988;0.214;0.2084;0.1848;0.178
0.0196;0.196;0.212;0.2136;0.1816;0.1772
0.0192;0.1992;0.2108;0.2124;0.1788;0.1796
0.0132;0.1988;0.2116;0.218;0.1816;0.1768
0.0176;0.1968;0.2196;0.2072;0.1844;0.1744
0.0184;0.1944;0.2124;0.214;0.1856;0.1752
0.02;0.1972;0.212;0.2068;0.1876;0.1764
0.0172;0.1996;0.21;0.2136;0.1876;0.172
0.022;0.198;0.2104;0.2132;0.1844;0.172
0.02;0.1984;0.2192;0.2096;0.1832;0.1696
0.018;0.2024;0.2124;0.2136;0.1816;0.172
0.016;0.194;0.214;0.2172;0.188;0.1708
0.0128;0.1972;0.2156;0.214;0.186;0.1744
0.0184;0.1996;0.2128;0.2192;0.1824;0.1676
0.0116;0.2024;0.2124;0.2208;0.184;0.1688
0.0196;0.1968;0.2132;0.2164;0.1908;0.1632
0.0172;0.194;0.2152;0.2196;0.1848;0.1692
0.0144;0.1916;0.2188;0.2188;0.1844;0.172
0.0176;0.1916;0.2148;0.218;0.1876;0.1704
0.0176;0.1948;0.2156;0.2224;0.1852;0.1644
0.0176;0.198;0.2236;0.2188;0.1788;0.1632
0.0184;0.1988;0.216;0.22;0.1792;0.1676
0.0148;0.2004;0.2148;0.2192;0.1808;0.17
0.0168;0.198;0.2176;0.2232;0.1788;0.1656
0.016;0.194;0.2152;0.2252;0.1804;0.1692
0.018;0.1948;0.214;0.2256;0.1772;0.1704
0.0168;0.1936;0.2144;0.2244;0.1812;0.1696
0.0152;0.202;0.2128;0.224;0.1804;0.1656
0.012;0.1912;0.2192;0.2316;0.1832;0.1628
0.0152;0.1916;0.2156;0.2312;0.1808;0.1656
0.0176;0.1928;0.214;0.2272;0.1828;0.1656
0.0188;0.1892;0.2144;0.2272;0.1784;0.172
0.0212;0.1888;0.2156;0.2348;0.1812;0.1584
0.0152;0.1888;0.2164;0.2312;0.186;0.1624
0.0176;0.192;0.2152;0.2312;0.1792;0.1648
0.0184;0.1868;0.2172;0.24;0.1808;0.1568
0.0228;0.1928;0.2152;0.2316;0.1768;0.1608
0.018;0.1924;0.2188;0.2344;0.1768;0.1596
0.0192;0.192;0.216;0.2396;0.1732;0.16
0.0164;0.1948;0.216;0.2352;0.1792;0.1584
0.0176;0.1872;0.2148;0.2368;0.1824;0.1612
0.0136;0.1892;0.2188;0.236;0.184;0.1584
0.0176;0.19;0.2168;0.236;0.186;0.1536
0.0188;0.1904;0.2208;0.234;0.1788;0.1572
0.0156;0.1904;0.2208;0.2392;0.1812;0.1528
0.0172;0.192;0.2136;0.2396;0.1808;0.1568
0.0176;0.1908;0.218;0.2364;0.1824;0.1548
0.016;0.1912;0.2144;0.24;0.18;0.1584
0.0176;0.1888;0.2188;0.2368;0.1816;0.1564
0.018;0.1876;0.218;0.2368;0.1804;0.1592
0.0144;0.1852;0.222;0.2372;0.1852;0.156
0.0184;0.184;0.2256;0.2312;0.1812;0.1596
0.0148;0.1844;0.2236;0.234;0.1848;0.1584
0.0176;0.184;0.2248;0.2296;0.1872;0.1568
0.0152;0.186;0.2256;0.2324;0.1836;0.1572
0.0208;0.178;0.222;0.2376;0.1848;0.1568
0.0148;0.188;0.222;0.2344;0.1876;0.1532
0.0224;0.1836;0.22;0.2372;0.1848;0.152
0.0152;0.1896;0.2216;0.2364;0.1816;0.1556
0.0184;0.1808;0.2228;0.24;0.182;0.156
0.018;0.1856;0.222;0.2352;0.1844;0.1548
0.0144;0.1856;0.2216;0.2392;0.1828;0.1564
0.0136;0.1916;0.2216;0.2352;0.1816;0.1564
0.0212;0.19;0.2176;0.236;0.1856;0.1496
0.0168;0.1888;0.2216;0.2388;0.1868;0.1472
0.012;0.1896;0.2248;0.2392;0.1876;0.1468
0.024;0.192;0.2256;0.2356;0.184;0.1388
0.018;0.1868;0.2232;0.236;0.1892;0.1468
0.0188;0.1884;0.224;0.2372;0.1844;0.1472
0.0156;0.1832;0.2208;0.2372;0.1912;0.152
0.022;0.1832;0.2228;0.2344;0.1924;0.1452
0.018;0.186;0.2172;0.24;0.1948;0.144
0.0168;0.1872;0.2196;0.2388;0.1884;0.1492
0.0212;0.1804;0.2168;0.2356;0.198;0.148
0.0172;0.1824;0.2228;0.2424;0.1908;0.1444
0.018;0.186;0.2196;0.2392;0.1932;0.144
0.0168;0.1808;0.2216;0.2432;0.1888;0.1488
0.014;0.1816;0.222;0.242;0.188;0.1524
0.0164;0.1824;0.2208;0.2444;0.192;0.144
0.0168;0.1832;0.2212;0.24;0.1948;0.144
0.0184;0.1836;0.2188;0.2444;0.1928;0.142
0.0168;0.1716;0.2248;0.2436;0.1968;0.1464
0.0192;0.1744;0.2212;0.2408;0.1964;0.148
0.0168;0.1752;0.2216;0.2412;0.1952;0.15
0.0192;0.1772;0.2188;0.2404;0.1928;0.1516
0.022;0.176;0.224;0.2408;0.192;0.1452
0.014;0.1792;0.2228;0.2376;0.1944;0.152
0.02;0.1732;0.226;0.2396;0.1916;0.1496
0.0172;0.1748;0.2224;0.2428;0.1936;0.1492
0.0176;0.176;0.2296;0.2352;0.1976;0.144
0.0208;0.1676;0.2236;0.2424;0.196;0.1496
0.016;0.1724;0.2248;0.2464;0.1976;0.1428
0.0128;0.1748;0.2232;0.2444;0.1968;0.148
0.018;0.1692;0.222;0.2488;0.1944;0.1476
0.0208;0.1684;0.2284;0.2476;0.1924;0.1424
0.0148;0.1692;0.2352;0.2472;0.19;0.1436
0.0192;0.1692;0.2252;0.248;0.1916;0.1468
0.02;0.1704;0.23;0.2468;0.1872;0.1456
0.0204;0.17;0.228;0.2476;0.1864;0.1476
0.0232;0.1652;0.2304;0.2508;0.1876;0.1428
0.02;0.166;0.2316;0.2512;0.1876;0.1436
0.0184;0.1664;0.2336;0.2484;0.1868;0.1464
0.0176;0.168;0.2324;0.2484;0.1912;0.1424
0.018;0.1652;0.2292;0.2488;0.1916;0.1472
0.022;0.1672;0.2256;0.2536;0.188;0.1436
0.0196;0.17;0.228;0.2532;0.1856;0.1436
0.018;0.176;0.2244;0.2492;0.1908;0.1416
0.0148;0.1732;0.234;0.252;0.1876;0.1384
0.0192;0.17;0.2344;0.2508;0.188;0.1376
0.0164;0.1708;0.236;0.252;0.1876;0.1372
0.0192;0.1772;0.2296;0.2504;0.1848;0.1388
0.018;0.1732;0.2264;0.25;0.1916;0.1408
0.0176;0.178;0.2328;0.2488;0.1828;0.14
0.022;0.1728;0.2268;0.2544;0.1872;0.1368
0.0168;0.178;0.2284;0.2468;0.19;0.14
0.018;0.1724;0.2288;0.252;0.1852;0.1436
0.0188;0.1708;0.2272;0.2544;0.19;0.1388
0.0204;0.176;0.2304;0.246;0.1896;0.1376
0.0152;0.1728;0.2356;0.25;0.1876;0.1388
0.0176;0.1696;0.2312;0.254;0.1892;0.1384
0.0164;0.1736;0.2304;0.2544;0.1908;0.1344
0.0168;0.1784;0.2276;0.2504;0.1912;0.1356
0.014;0.1744;0.2312;0.2524;0.1904;0.1376
0.0176;0.1744;0.2296;0.2536;0.1896;0.1352
0.02;0.1756;0.2292;0.2528;0.1904;0.132
0.0176;0.1724;0.2296;0.2564;0.1872;0.1368
