action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.1652;0.1684;0.1708;0.1536;0.1744;0.1676
0.0508;0.1964;0.1904;0.176;0.2;0.1864
0.0356;0.1976;0.1936;0.178;0.2048;0.1904
0.0384;0.1992;0.1908;0.1808;0.2008;0.19
0.028;0.1968;0.2012;0.18;0.2;0.194
0.0232;0.2024;0.198;0.1864;0.1996;0.1904
0.0184;0.2004;0.1988;0.1844;0.2036;0.1944
0.0172;0.2028;0.2;0.1848;0.2032;0.192
0.0144;0.2;0.2008;0.1828;0.2036;0.1984
0.0132;0.1996;0.2008;0.1872;0.2024;0.1968
0.0144;0.202;0.2044;0.1828;0.2024;0.194
0.0144;0.2028;0.2052;0.1816;0.2004;0.1956
0.0152;0.2056;0.196;0.1864;0.2012;0.1956
0.0096;0.2032;0.2012;0.1876;0.2012;0.1972
0.0116;0.2016;0.198;0.188;0.2048;0.196
0.01;0.2032;0.2028;0.1896;0.1992;0.1952
0.0092;0.2048;0.1984;0.1896;0.2024;0.1956
0.0096;0.2036;0.1992;0.1852;0.2036;0.1988
0.0088;0.2076;0.2004;0.1872;0.2012;0.1948
0.0076;0.2052;0.2012;0.1872;0.204;0.1948
0.0116;0.202;0.2024;0.1848;0.2028;0.1964
0.0076;0.204;0.2024;0.1852;0.2024;0.1984
0.006;0.206;0.2024;0.1872;0.2004;0.198
0.0092;0.2032;0.202;0.19;0.1996;0.196
0.0056;0.2028;0.204;0.1868;0.2;0.2008
0.0056;0.2032;0.2028;0.1876;0.2012;0.1996
0.0084;0.2032;0.2024;0.188;0.2008;0.1972
0.0056;0.2028;0.2;0.1884;0.202;0.2012
0.0064;0.2008;0.2024;0.188;0.2032;0.1992
0.008;0.2056;0.1992;0.1872;0.2012;0.1988
0.0084;0.2008;0.202;0.1888;0.2004;0.1996
0.0076;0.2012;0.2028;0.1868;0.2036;0.198
0.0104;0.2012;0.1996;0.1876;0.2024;0.1988
0.0064;0.2008;0.2068;0.19;0.1968;0.1992
0.0068;0.2044;0.2036;0.1884;0.1992;0.1976
0.0056;0.2056;0.204;0.1872;0.2004;0.1972
0.0064;0.204;0.2012;0.19;0.2004;0.198
0.0072;0.206;0.2008;0.1868;0.2036;0.1956
0.006;0.2044;0.2048;0.1864;0.2012;0.1972
0.0084;0.2048;0.2028;0.186;0.1988;0.1992
0.0108;0.2012;0.2056;0.1856;0.1996;0.1972
0.0088;0.2024;0.202;0.1876;0.2004;0.1988
0.006;0.2028;0.204;0.1884;0.2008;0.198
0.0088;0.2036;0.2012;0.1884;0.1992;0.1988
0.0052;0.2056;0.2032;0.1908;0.2;0.1952
0.0068;0.204;0.204;0.186;0.2036;0.1956
0.008;0.2044;0.2;0.1872;0.2008;0.1996
0.004;0.2036;0.2056;0.1876;0.2016;0.1976
0.0056;0.2064;0.2016;0.1864;0.2036;0.1964
0.004;0.2048;0.2048;0.1868;0.2012;0.1984
0.0052;0.2036;0.2056;0.188;0.2024;0.1952
0.0056;0.2028;0.2024;0.1872;0.2028;0.1992
0.0032;0.206;0.2028;0.1884;0.202;0.1976
0.004;0.2044;0.2024;0.1876;0.202;0.1996
0.0052;0.2064;0.2032;0.188;0.202;0.1952
0.0056;0.2056;0.2056;0.1856;0.2016;0.196
0.006;0.204;0.2044;0.1876;0.2008;0.1972
0.0056;0.2048;0.2048;0.186;0.2012;0.1976
0.0072;0.2036;0.2028;0.186;0.2024;0.198
0.0064;0.2064;0.2028;0.1856;0.2012;0.1976
0.0032;0.202;0.206;0.1888;0.2032;0.1968
0.008;0.2052;0.2016;0.1864;0.2012;0.1976
0.006;0.2044;0.2032;0.1868;0.2032;0.1964
0.0068;0.2088;0.2036;0.1856;0.1996;0.1956
0.0048;0.2024;0.2016;0.1888;0.2036;0.1988
0.0052;0.204;0.2016;0.1884;0.2028;0.198
0.0056;0.2008;0.2048;0.1888;0.2024;0.1976
0.0048;0.204;0.2036;0.1876;0.2004;0.1996
0.0044;0.206;0.2048;0.1872;0.202;0.1956
0.0064;0.206;0.2032;0.1888;0.202;0.1936
0.0044;0.2044;0.204;0.1916;0.1984;0.1972
0.0056;0.2032;0.202;0.192;0.2012;0.196
0.004;0.2052;0.2048;0.1852;0.2028;0.198
0.006;0.2064;0.2036;0.1876;0.1996;0.1968
0.004;0.2036;0.2064;0.1892;0.2012;0.1956
0.006;0.2048;0.2028;0.1876;0.2;0.1988
0.0088;0.2052;0.202;0.1864;0.2008;0.1968
0.0064;0.206;0.2044;0.1852;0.2032;0.1948
0.0048;0.2072;0.202;0.1876;0.2004;0.198
0.0044;0.2036;0.2024;0.1888;0.2048;0.196
0.0032;0.2072;0.2052;0.188;0.2008;0.1956
0.006;0.206;0.204;0.1864;0.2012;0.1964
0.0064;0.2048;0.2052;0.1872;0.2016;0.1948
0.0056;0.202;0.2044;0.1896;0.2024;0.196
0.0048;0.204;0.2088;0.188;0.1988;0.1956
0.004;0.2088;0.2012;0.1884;0.2;0.1976
0.0052;0.2044;0.2032;0.1868;0.2032;0.1972
0.0044;0.2024;0.206;0.1884;0.1996;0.1992
0.0064;0.2048;0.2048;0.1876;0.2012;0.1952
0.0072;0.2056;0.2044;0.1844;0.1988;0.1996
0.0048;0.202;0.2052;0.1876;0.2036;0.1968
0.0048;0.2028;0.2032;0.1868;0.2028;0.1996
0.0088;0.2056;0.2064;0.1848;0.2004;0.194
0.0076;0.204;0.2032;0.1856;0.2024;0.1972
0.0072;0.2036;0.2032;0.186;0.202;0.198
0.0052;0.204;0.2036;0.1884;0.2024;0.1964
0.0044;0.206;0.2012;0.188;0.2016;0.1988
0.0044;0.2072;0.2028;0.1872;0.1976;0.2008
0.0056;0.2048;0.2012;0.1856;0.2028;0.2
0.0048;0.2048;0.2032;0.1904;0.1996;0.1972
0.0036;0.2072;0.2048;0.1864;0.2008;0.1972
0.0068;0.2036;0.2064;0.1864;0.1984;0.1984
0.0052;0.2072;0.2044;0.1864;0.2;0.1968
0.006;0.2056;0.2032;0.188;0.2;0.1972
0.0064;0.2056;0.2044;0.1844;0.2012;0.198
0.0056;0.2044;0.208;0.1872;0.2004;0.1944
0.0032;0.2016;0.2052;0.1884;0.2028;0.1988
0.0048;0.2052;0.2052;0.1896;0.1992;0.196
0.006;0.2044;0.2048;0.1852;0.2008;0.1988
0.0052;0.2072;0.204;0.1876;0.1996;0.1964
0.0052;0.2016;0.2056;0.1872;0.2004;0.2
0.004;0.2036;0.2048;0.186;0.204;0.1976
0.004;0.2064;0.2052;0.1852;0.2024;0.1968
0.0044;0.202;0.2068;0.1868;0.2028;0.1972
0.0056;0.2056;0.2024;0.1888;0.1992;0.1984
0.0064;0.2028;0.2028;0.19;0.2008;0.1972
0.0048;0.2052;0.2044;0.1876;0.1996;0.1984
0.0044;0.204;0.2056;0.1864;0.2004;0.1992
0.0044;0.2064;0.204;0.1848;0.202;0.1984
0.0052;0.2044;0.2036;0.1852;0.2008;0.2008
0.0048;0.2084;0.2028;0.1856;0.202;0.1964
0.0056;0.2052;0.2048;0.1852;0.2012;0.198
0.004;0.2068;0.2044;0.1884;0.2;0.1964
0.006;0.2048;0.2044;0.188;0.1996;0.1972
0.0044;0.2032;0.2032;0.1896;0.2016;0.198
0.0044;0.2076;0.2012;0.1876;0.2012;0.198
0.006;0.2052;0.2048;0.1832;0.2024;0.1984
0.0044;0.2056;0.2028;0.1888;0.2008;0.1976
0.0056;0.2032;0.2036;0.1872;0.204;0.1964
0.0052;0.2044;0.2032;0.188;0.2008;0.1984
0.006;0.2048;0.2028;0.1868;0.2032;0.1964
0.0056;0.2044;0.2012;0.1876;0.202;0.1992
0.0092;0.204;0.2028;0.1872;0.1996;0.1972
0.0052;0.2052;0.2028;0.1896;0.1996;0.1976
0.0048;0.2052;0.2016;0.1908;0.2004;0.1972
0.0048;0.204;0.2056;0.188;0.1984;0.1992
0.0048;0.2052;0.2032;0.1876;0.2012;0.198
0.0052;0.204;0.2036;0.1892;0.2;0.198
0.0044;0.206;0.2064;0.1868;0.2;0.1964
0.0048;0.2048;0.2036;0.1892;0.2008;0.1968
0.0076;0.2048;0.202;0.1864;0.2012;0.198
0.0076;0.2028;0.2024;0.186;0.2016;0.1996
0.0064;0.2032;0.2052;0.1848;0.2024;0.198
0.0036;0.2064;0.2024;0.1872;0.202;0.1984
0.0036;0.2052;0.2032;0.1888;0.2028;0.1964
0.0052;0.2064;0.2;0.1896;0.2;0.1988
0.002;0.204;0.2052;0.1884;0.2024;0.198
0.0044;0.2024;0.2048;0.1884;0.2004;0.1996
0.004;0.202;0.2048;0.1888;0.1996;0.2008
