action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.168;0.1688;0.1644;0.1688;0.1636;0.1664
0.0424;0.2148;0.18;0.192;0.1864;0.1844
0.0336;0.1964;0.214;0.1844;0.1772;0.1944
0.0352;0.2012;0.1952;0.1984;0.1796;0.1904
0.028;0.1956;0.1944;0.1988;0.1932;0.19
0.0312;0.2028;0.192;0.1964;0.1824;0.1952
0.0252;0.2068;0.198;0.1956;0.188;0.1864
0.022;0.202;0.1972;0.1976;0.192;0.1892
0.0192;0.2048;0.1968;0.2028;0.1908;0.1856
0.0212;0.1972;0.2024;0.2052;0.19;0.184
0.018;0.1972;0.2032;0.2032;0.1968;0.1816
0.0184;0.1952;0.1968;0.202;0.1988;0.1888
0.0208;0.1992;0.2004;0.2016;0.1952;0.1828
0.0204;0.1992;0.1976;0.204;0.1924;0.1864
0.0132;0.1996;0.2008;0.204;0.1928;0.1896
0.0168;0.1932;0.2072;0.2072;0.1892;0.1864
0.016;0.1996;0.2036;0.2036;0.1944;0.1828
0.0152;0.1964;0.2032;0.2048;0.1916;0.1888
0.0128;0.1948;0.2004;0.212;0.1912;0.1888
0.0164;0.2004;0.2032;0.2052;0.1884;0.1864
0.0164;0.198;0.2028;0.2088;0.19;0.184
0.0188;0.1976;0.2044;0.2084;0.1876;0.1832
0.0152;0.1944;0.2044;0.2076;0.1936;0.1848
0.0184;0.1912;0.2076;0.206;0.1968;0.18
0.0124;0.1912;0.2072;0.2096;0.1932;0.1864
0.0096;0.1968;0.204;0.2168;0.1844;0.1884
0.0168;0.1916;0.2052;0.2128;0.1888;0.1848
0.0096;0.194;0.208;0.2176;0.1888;0.182
0.012;0.1944;0.2032;0.2164;0.1884;0.1856
0.0168;0.1916;0.202;0.2132;0.184;0.1924
0.0176;0.1872;0.2048;0.22;0.1888;0.1816
0.0132;0.192;0.2032;0.2192;0.19;0.1824
0.0152;0.1916;0.2044;0.22;0.1884;0.1804
0.0148;0.186;0.2032;0.2228;0.1916;0.1816
0.0148;0.1868;0.206;0.2236;0.19;0.1788
0.0124;0.1864;0.2068;0.2248;0.1888;0.1808
0.012;0.188;0.206;0.2232;0.1868;0.184
0.0096;0.1872;0.2056;0.2256;0.1916;0.1804
0.0152;0.186;0.2104;0.2244;0.1848;0.1792
0.0192;0.1836;0.2072;0.2244;0.1872;0.1784
0.0156;0.1856;0.2068;0.2208;0.1912;0.18
0.0128;0.1856;0.2104;0.222;0.1872;0.182
0.0144;0.1836;0.2108;0.2212;0.194;0.176
0.0152;0.1816;0.2084;0.2236;0.196;0.1752
0.0184;0.1836;0.2068;0.2228;0.1896;0.1788
0.0132;0.186;0.2088;0.226;0.1904;0.1756
0.0124;0.18;0.21;0.2268;0.192;0.1788
0.0128;0.1812;0.2112;0.2244;0.1924;0.178
0.0124;0.1844;0.2064;0.2264;0.1904;0.18
0.0092;0.1824;0.2072;0.2272;0.1932;0.1808
0.0124;0.184;0.21;0.2248;0.1916;0.1772
0.0144;0.1808;0.2068;0.2248;0.196;0.1772
0.0128;0.184;0.2052;0.2284;0.1956;0.174
0.0124;0.1848;0.2132;0.226;0.1904;0.1732
0.012;0.1792;0.21;0.2276;0.1936;0.1776
0.0108;0.1844;0.2112;0.2272;0.1876;0.1788
0.0124;0.1808;0.2156;0.224;0.192;0.1752
0.0128;0.182;0.2168;0.2236;0.192;0.1728
0.0124;0.1844;0.2128;0.228;0.1896;0.1728
0.0128;0.1856;0.2136;0.2272;0.1936;0.1672
0.0176;0.184;0.2136;0.228;0.1872;0.1696
0.0128;0.184;0.2144;0.2308;0.19;0.168
0.0152;0.182;0.2124;0.2304;0.19;0.17
0.0108;0.1852;0.2172;0.2324;0.1884;0.166
0.0104;0.184;0.2208;0.2328;0.186;0.166
0.0148;0.18;0.2228;0.2312;0.1856;0.1656
