Rp = 1;Rp = 3;Rp = 5;Rp = 10
10.60000;10.20000;11.00000;10.88000
8.88000;8.40000;9.36000;8.92000
7.24000;7.24000;8.00000;7.60000
7.60000;6.08000;7.04000;9.04000
7.48000;5.68000;8.72000;9.24000
8.28000;5.96000;9.04000;9.64000
7.20000;7.20000;9.56000;9.60000
7.28000;8.00000;10.68000;10.84000
7.32000;8.16000;10.68000;11.52000
7.64000;8.36000;10.08000;12.72000
8.00000;9.00000;9.84000;12.80000
7.64000;8.60000;10.92000;14.44000
8.00000;8.52000;11.72000;15.24000
8.52000;9.68000;13.04000;15.60000
8.24000;10.36000;13.48000;16.20000
7.44000;10.12000;13.08000;17.72000
7.92000;10.76000;13.92000;17.48000
7.80000;9.92000;13.40000;18.32000
8.32000;10.52000;13.64000;18.60000
8.52000;10.68000;13.96000;19.08000
8.72000;10.84000;14.12000;19.32000
9.04000;10.84000;14.84000;20.76000
8.28000;10.76000;15.20000;20.60000
9.12000;11.48000;15.96000;21.92000
9.00000;11.72000;16.40000;21.00000
9.44000;11.08000;16.88000;22.08000
9.80000;12.32000;16.36000;21.28000
9.36000;13.20000;16.80000;21.96000
9.88000;14.16000;16.60000;22.52000
9.84000;14.76000;18.44000;23.00000
10.24000;13.96000;18.08000;24.60000
9.80000;13.72000;17.56000;25.20000
10.20000;13.68000;17.80000;25.84000
9.92000;13.96000;17.68000;25.20000
9.52000;14.80000;17.96000;26.00000
10.60000;14.88000;17.96000;26.00000
10.24000;14.92000;18.32000;25.92000
10.88000;14.96000;18.88000;27.60000
10.72000;15.52000;19.04000;26.76000
10.20000;15.80000;18.80000;28.08000
9.92000;16.32000;19.08000;28.04000
9.92000;16.40000;19.60000;27.32000
9.56000;17.12000;19.32000;27.32000
10.72000;17.00000;19.68000;27.60000
9.84000;17.12000;19.60000;28.24000
10.32000;17.40000;19.60000;26.92000
10.76000;17.44000;19.96000;27.00000
11.20000;16.88000;20.36000;27.40000
11.96000;16.52000;22.00000;28.36000
12.24000;16.04000;22.32000;28.20000
11.80000;16.36000;21.60000;29.16000
11.72000;16.52000;21.00000;30.04000
11.12000;16.44000;21.28000;28.84000
10.96000;16.12000;22.08000;28.36000
10.64000;16.56000;21.76000;29.20000
9.88000;16.56000;22.12000;29.12000
11.12000;16.64000;21.24000;29.00000
11.68000;16.64000;21.28000;29.48000
11.48000;16.04000;22.20000;29.72000
11.56000;16.84000;22.36000;30.20000
11.52000;17.12000;21.40000;29.48000
12.16000;17.52000;22.24000;30.56000
12.32000;17.04000;23.20000;31.24000
12.16000;16.60000;23.72000;31.56000
11.68000;16.20000;23.72000;31.52000
12.20000;15.72000;23.68000;31.44000
11.84000;15.88000;23.16000;31.20000
11.56000;16.00000;24.00000;32.16000
11.60000;15.68000;24.16000;32.16000
11.56000;15.96000;23.84000;32.96000
11.52000;16.08000;23.52000;33.08000
9.44000;16.32000;24.36000;33.20000
10.32000;16.88000;24.08000;32.60000
10.16000;17.60000;24.28000;33.12000
10.32000;17.04000;24.56000;34.04000
10.04000;17.12000;25.08000;33.52000
9.64000;18.24000;24.64000;33.88000
10.48000;18.68000;23.92000;34.96000
10.12000;18.00000;23.52000;35.20000
10.24000;17.60000;23.88000;36.12000
10.56000;17.56000;23.80000;36.44000
11.12000;18.12000;24.20000;36.64000
10.92000;18.40000;24.40000;36.48000
11.00000;18.68000;23.32000;36.00000
10.88000;18.28000;23.40000;36.28000
10.60000;18.44000;23.36000;36.32000
10.60000;17.60000;22.88000;35.84000
11.08000;18.60000;23.28000;35.92000
11.92000;19.48000;23.00000;36.16000
11.00000;19.36000;22.40000;36.28000
11.32000;18.76000;22.88000;36.60000
11.96000;18.16000;23.16000;37.00000
10.48000;18.32000;23.92000;37.36000
10.44000;18.56000;23.84000;37.00000
11.12000;17.68000;23.60000;37.68000
11.56000;18.12000;23.32000;38.24000
11.36000;18.52000;23.48000;39.12000
10.80000;18.80000;24.08000;39.28000
11.04000;19.40000;23.76000;39.80000
10.36000;18.92000;24.96000;39.40000
10.48000;20.16000;25.00000;39.36000
10.92000;20.00000;24.88000;39.00000
11.32000;19.88000;24.44000;38.80000
10.84000;19.40000;25.88000;38.80000
10.56000;19.28000;26.44000;38.48000
10.80000;18.52000;25.68000;38.52000
10.64000;19.48000;26.04000;38.76000
10.80000;20.12000;25.56000;39.32000
11.16000;19.20000;26.12000;38.60000
12.36000;18.72000;27.00000;37.80000
12.08000;19.08000;27.28000;37.92000
12.88000;19.56000;28.12000;38.04000
11.84000;19.76000;27.76000;37.64000
12.60000;19.96000;28.36000;37.24000
12.80000;20.24000;28.44000;37.04000
12.68000;20.40000;28.56000;37.36000
12.08000;20.28000;29.32000;36.96000
11.48000;20.16000;29.32000;36.76000
11.40000;19.44000;29.16000;37.68000
10.84000;19.64000;29.60000;38.44000
9.84000;19.64000;29.72000;37.08000
9.72000;20.56000;29.28000;37.12000
10.16000;19.92000;28.44000;38.08000
10.60000;19.64000;29.44000;37.68000
10.88000;19.60000;29.48000;37.80000
11.84000;19.60000;29.28000;39.04000
12.60000;19.80000;29.52000;39.88000
12.80000;19.48000;29.28000;39.36000
13.12000;19.44000;29.44000;38.72000
13.12000;19.20000;28.80000;38.16000
13.24000;19.36000;28.52000;37.04000
13.44000;19.52000;29.32000;37.36000
13.20000;19.72000;29.00000;37.12000
13.44000;19.24000;28.68000;37.92000
12.12000;20.32000;28.96000;37.84000
11.52000;19.84000;28.28000;36.96000
11.80000;19.36000;27.96000;36.36000
11.68000;18.88000;28.56000;37.12000
12.36000;18.68000;28.56000;37.20000
12.88000;18.80000;29.00000;37.24000
13.00000;18.64000;28.92000;38.68000
12.56000;18.44000;28.08000;39.44000
11.60000;17.96000;28.64000;39.84000
11.64000;17.56000;28.52000;40.24000
11.92000;17.60000;28.44000;39.88000
11.72000;17.96000;28.84000;40.00000
11.96000;19.16000;28.76000;40.08000
12.32000;19.16000;28.88000;40.64000
11.28000;18.68000;28.76000;40.76000
10.36000;18.80000;28.84000;40.88000
12.40000;19.04000;28.64000;41.28000
12.28000;18.16000;28.44000;41.60000
12.36000;17.40000;27.48000;41.40000
11.60000;17.84000;28.36000;41.16000
11.28000;18.00000;27.84000;41.20000
12.04000;17.64000;27.72000;41.72000
12.36000;18.04000;27.64000;41.36000
13.16000;17.88000;27.92000;41.08000
12.60000;17.40000;27.92000;40.92000
