action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.152;0.1708;0.1704;0.176;0.1632;0.1676
0.0336;0.2012;0.1988;0.1916;0.186;0.1888
0.0432;0.2004;0.1968;0.1936;0.1836;0.1824
0.0316;0.198;0.1992;0.1932;0.188;0.19
0.0244;0.2056;0.2032;0.1944;0.182;0.1904
0.034;0.1992;0.2048;0.1968;0.1764;0.1888
0.0288;0.1976;0.21;0.1984;0.1832;0.182
0.0316;0.2;0.2048;0.1964;0.186;0.1812
0.0324;0.1956;0.2044;0.198;0.1872;0.1824
0.0276;0.1964;0.208;0.1996;0.1864;0.182
0.0296;0.1944;0.2072;0.2004;0.1816;0.1868
0.0316;0.1956;0.2044;0.2036;0.182;0.1828
0.0288;0.1908;0.208;0.2064;0.1804;0.1856
0.0304;0.1884;0.2112;0.2016;0.1768;0.1916
0.0276;0.1856;0.2116;0.2092;0.18;0.186
0.032;0.1868;0.2048;0.2204;0.176;0.18
0.0308;0.19;0.2048;0.2084;0.1864;0.1796
0.0276;0.192;0.2076;0.212;0.178;0.1828
0.0312;0.1884;0.2084;0.2172;0.1812;0.1736
0.0296;0.1848;0.2116;0.2184;0.1784;0.1772
0.0316;0.1836;0.2084;0.2168;0.1804;0.1792
0.0324;0.1868;0.208;0.2116;0.1856;0.1756
0.026;0.1852;0.2124;0.2176;0.184;0.1748
0.0272;0.184;0.21;0.2184;0.184;0.1764
0.0252;0.1888;0.202;0.2252;0.1888;0.17
0.0304;0.1916;0.1992;0.2196;0.1844;0.1748
0.0304;0.1916;0.196;0.226;0.1876;0.1684
0.0316;0.1912;0.1936;0.2184;0.19;0.1752
0.0232;0.1968;0.1984;0.2196;0.1952;0.1668
0.0352;0.1864;0.1984;0.22;0.192;0.168
0.0316;0.1876;0.1968;0.232;0.1864;0.1656
0.03;0.186;0.1928;0.2308;0.192;0.1684
0.034;0.1856;0.2016;0.2292;0.1892;0.1604
0.0296;0.184;0.2016;0.232;0.1912;0.1616
0.0308;0.1784;0.1932;0.2368;0.1876;0.1732
0.0324;0.1736;0.2;0.2328;0.184;0.1772
0.0376;0.1736;0.1972;0.234;0.188;0.1696
0.0352;0.1768;0.1948;0.232;0.188;0.1732
0.0332;0.168;0.1976;0.2356;0.184;0.1816
0.0316;0.1676;0.2028;0.2324;0.1848;0.1808
0.034;0.1664;0.1996;0.2364;0.1848;0.1788
0.0372;0.1712;0.1972;0.232;0.18;0.1824
0.0368;0.1712;0.1956;0.238;0.1816;0.1768
0.032;0.1692;0.2012;0.2308;0.1832;0.1836
0.0368;0.1708;0.1964;0.232;0.1836;0.1804
0.0364;0.1724;0.1972;0.2344;0.188;0.1716
0.0348;0.174;0.204;0.2312;0.188;0.168
0.0368;0.1708;0.2;0.232;0.1916;0.1688
0.0332;0.1772;0.204;0.2308;0.1888;0.166
0.0412;0.1764;0.1932;0.228;0.1956;0.1656
0.0356;0.1808;0.1944;0.2352;0.1924;0.1616
0.0356;0.172;0.2056;0.2348;0.1896;0.1624
0.034;0.1736;0.1996;0.2368;0.1924;0.1636
0.0384;0.1712;0.2;0.2356;0.188;0.1668
0.0384;0.1684;0.2072;0.2304;0.1952;0.1604
0.0396;0.1728;0.2044;0.2268;0.202;0.1544
0.0368;0.1788;0.2012;0.232;0.1984;0.1528
0.0352;0.1752;0.2032;0.234;0.1924;0.16
0.0364;0.1768;0.2068;0.2264;0.1948;0.1588
0.0388;0.176;0.2064;0.2292;0.1892;0.1604
0.0356;0.18;0.2092;0.2328;0.1844;0.158
0.0336;0.1736;0.2;0.2384;0.1884;0.166
0.038;0.1708;0.2036;0.2384;0.1888;0.1604
0.0356;0.1644;0.2112;0.234;0.1932;0.1616
0.0364;0.1668;0.2052;0.2396;0.1828;0.1692
0.0412;0.1688;0.2084;0.2264;0.1888;0.1664
0.0392;0.1704;0.2112;0.2312;0.1892;0.1588
0.0352;0.1664;0.2044;0.2384;0.1868;0.1688
0.0452;0.1632;0.2052;0.2332;0.1884;0.1648
0.0352;0.1716;0.2108;0.2404;0.188;0.154
0.0456;0.17;0.2064;0.2304;0.194;0.1536
0.0384;0.1644;0.2104;0.2368;0.1896;0.1604
0.0336;0.1632;0.2168;0.2456;0.1828;0.158
0.0348;0.1644;0.2136;0.2424;0.1824;0.1624
0.0472;0.1616;0.208;0.2448;0.1792;0.1592
0.038;0.1508;0.2184;0.2384;0.196;0.1584
0.0356;0.1564;0.2176;0.2428;0.19;0.1576
0.0368;0.1568;0.2188;0.242;0.1884;0.1572
0.0376;0.1576;0.2148;0.2344;0.1912;0.1644
0.0468;0.156;0.2104;0.2396;0.1876;0.1596
0.0396;0.158;0.2104;0.2396;0.1864;0.166
0.0384;0.1528;0.2176;0.2372;0.196;0.158
0.0384;0.16;0.2096;0.2388;0.1936;0.1596
0.0364;0.1584;0.2084;0.2408;0.1888;0.1672
0.0456;0.1592;0.2104;0.2344;0.1884;0.162
0.0384;0.1576;0.2056;0.2428;0.1892;0.1664
0.0364;0.1616;0.2056;0.2428;0.1896;0.164
0.0372;0.1592;0.2128;0.2412;0.1864;0.1632
0.0416;0.154;0.2152;0.2428;0.1864;0.16
0.0352;0.162;0.2128;0.2396;0.1908;0.1596
0.0408;0.1532;0.2144;0.2476;0.1892;0.1548
0.0484;0.158;0.2112;0.2352;0.1876;0.1596
0.0368;0.164;0.2084;0.2444;0.1852;0.1612
0.0416;0.1664;0.2008;0.248;0.1844;0.1588
0.0392;0.1432;0.214;0.2468;0.1948;0.162
0.0428;0.1484;0.206;0.25;0.1928;0.16
0.046;0.1584;0.21;0.2444;0.1876;0.1536
0.0432;0.1452;0.2096;0.2496;0.1944;0.158
0.0468;0.1504;0.2044;0.2516;0.1896;0.1572
0.0388;0.1512;0.2172;0.2516;0.186;0.1552
0.0428;0.1532;0.2156;0.2464;0.1816;0.1604
0.0376;0.1492;0.218;0.2476;0.1872;0.1604
0.042;0.1548;0.2104;0.2436;0.1884;0.1608
0.0384;0.1548;0.2132;0.2444;0.1872;0.162
0.0392;0.1556;0.2192;0.2392;0.1792;0.1676
0.0372;0.154;0.2168;0.2512;0.184;0.1568
0.0428;0.1516;0.2204;0.2492;0.1788;0.1572
0.0428;0.154;0.2152;0.2524;0.1796;0.156
0.0464;0.1544;0.21;0.254;0.172;0.1632
0.0348;0.1564;0.2184;0.2492;0.182;0.1592
0.0428;0.1572;0.2128;0.244;0.1868;0.1564
0.0428;0.1496;0.2152;0.2504;0.1892;0.1528
0.0356;0.16;0.2164;0.2428;0.1848;0.1604
0.0448;0.1544;0.2184;0.2388;0.1872;0.1564
0.0412;0.15;0.2184;0.2468;0.1872;0.1564
0.0392;0.152;0.222;0.2456;0.1836;0.1576
0.0448;0.1516;0.222;0.2404;0.1884;0.1528
0.0468;0.1504;0.2216;0.2408;0.188;0.1524
0.0432;0.1576;0.2112;0.2428;0.184;0.1612
0.048;0.1604;0.2196;0.2384;0.1844;0.1492
0.0384;0.1572;0.2184;0.244;0.1908;0.1512
0.0448;0.1576;0.2184;0.238;0.1828;0.1584
0.0432;0.1532;0.2256;0.2416;0.1888;0.1476
0.0444;0.1596;0.2136;0.2488;0.1848;0.1488
0.0416;0.1592;0.2128;0.24;0.1908;0.1556
0.0404;0.154;0.216;0.2452;0.1888;0.1556
0.0372;0.1556;0.2204;0.24;0.192;0.1548
0.0348;0.16;0.2164;0.2392;0.1952;0.1544
0.0412;0.1584;0.2188;0.2376;0.1912;0.1528
0.042;0.1584;0.222;0.2464;0.1816;0.1496
0.0392;0.1568;0.2168;0.2436;0.1968;0.1468
0.034;0.1584;0.22;0.2392;0.1912;0.1572
0.038;0.1532;0.214;0.2424;0.1956;0.1568
0.0404;0.1556;0.214;0.2444;0.1948;0.1508
0.0416;0.1532;0.2088;0.2488;0.1948;0.1528
0.046;0.156;0.2088;0.2432;0.192;0.154
0.0424;0.154;0.2136;0.248;0.1892;0.1528
0.0404;0.1548;0.2104;0.2472;0.1972;0.15
0.0396;0.16;0.2168;0.2476;0.1932;0.1428
0.0372;0.154;0.2164;0.2432;0.196;0.1532
0.042;0.15;0.2104;0.2448;0.1984;0.1544
0.05;0.1512;0.2196;0.2432;0.1936;0.1424
0.0376;0.152;0.2124;0.2476;0.198;0.1524
0.0468;0.1508;0.2012;0.248;0.19;0.1632
0.0416;0.1472;0.208;0.2492;0.2;0.154
0.048;0.154;0.2104;0.24;0.194;0.1536
0.0428;0.1524;0.2172;0.2452;0.1924;0.15
0.046;0.1636;0.2116;0.2316;0.1944;0.1528
0.0424;0.1528;0.2148;0.2388;0.2004;0.1508
0.0428;0.158;0.2108;0.2404;0.194;0.154
0.0436;0.1512;0.212;0.2476;0.1996;0.146
0.0456;0.1464;0.22;0.2448;0.1928;0.1504
0.0456;0.1496;0.21;0.2412;0.2064;0.1472
0.048;0.1448;0.212;0.2428;0.2016;0.1508
0.0432;0.1516;0.2204;0.242;0.2004;0.1424
0.0436;0.1536;0.22;0.2436;0.1988;0.1404
0.0416;0.1484;0.2148;0.2472;0.2036;0.1444
0.0412;0.1512;0.2108;0.25;0.1968;0.15
0.0428;0.1484;0.214;0.2508;0.1996;0.1444
0.0428;0.146;0.216;0.2428;0.1992;0.1532
0.0448;0.1564;0.214;0.244;0.194;0.1468
0.0436;0.1548;0.2124;0.2484;0.1972;0.1436
0.0424;0.1536;0.2224;0.2492;0.1896;0.1428
0.0464;0.1528;0.2224;0.2492;0.1928;0.1364
0.0544;0.1524;0.2124;0.244;0.1956;0.1412
