action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.1632;0.1592;0.1728;0.1608;0.1744;0.1696
0.0968;0.1868;0.1828;0.1736;0.1828;0.1772
0.1172;0.1996;0.1816;0.186;0.17;0.1456
0.108;0.2056;0.2004;0.1656;0.1624;0.158
0.0984;0.2064;0.1808;0.178;0.1776;0.1588
0.0944;0.206;0.18;0.1816;0.1704;0.1676
0.1048;0.2028;0.1924;0.1664;0.18;0.1536
0.1044;0.2004;0.1852;0.1788;0.172;0.1592
0.0976;0.1948;0.1904;0.1892;0.1768;0.1512
0.102;0.2012;0.1864;0.182;0.1768;0.1516
0.0932;0.2012;0.194;0.1868;0.1716;0.1532
0.0904;0.2088;0.1852;0.1792;0.1656;0.1708
0.0888;0.1928;0.2104;0.178;0.1736;0.1564
0.1008;0.2012;0.2116;0.1648;0.172;0.1496
0.0876;0.2048;0.198;0.1716;0.166;0.172
0.1024;0.21;0.1892;0.1736;0.1684;0.1564
0.098;0.1972;0.204;0.17;0.1776;0.1532
0.1;0.2024;0.1932;0.1676;0.1892;0.1476
0.0876;0.2028;0.1944;0.1748;0.1756;0.1648
0.096;0.22;0.1908;0.1728;0.1748;0.1456
0.094;0.2032;0.2044;0.1732;0.1712;0.154
0.086;0.2184;0.1928;0.1828;0.1696;0.1504
0.0924;0.2052;0.1992;0.1816;0.166;0.1556
0.0864;0.204;0.204;0.1724;0.178;0.1552
0.0936;0.2064;0.1864;0.1652;0.1724;0.176
0.09;0.2008;0.1936;0.1776;0.1708;0.1672
0.0952;0.2012;0.1856;0.184;0.1712;0.1628
0.0948;0.2004;0.1888;0.1656;0.1836;0.1668
0.0936;0.2148;0.1992;0.1656;0.1796;0.1472
0.09;0.2036;0.1964;0.176;0.1796;0.1544
0.102;0.212;0.192;0.1676;0.1724;0.154
0.0876;0.21;0.18;0.1888;0.178;0.1556
0.0908;0.2012;0.1956;0.1752;0.172;0.1652
0.0928;0.21;0.1784;0.1756;0.184;0.1592
0.0916;0.198;0.1944;0.1748;0.1752;0.166
0.0908;0.212;0.1824;0.1848;0.182;0.148
0.0936;0.206;0.2036;0.1612;0.1716;0.164
0.0872;0.21;0.1884;0.1752;0.1812;0.158
0.1056;0.1976;0.184;0.1724;0.1872;0.1532
0.1;0.2036;0.1816;0.1756;0.184;0.1552
0.0808;0.2256;0.1924;0.1832;0.1592;0.1588
0.0908;0.2004;0.1856;0.186;0.1728;0.1644
0.1004;0.1996;0.1832;0.1812;0.1816;0.154
0.0944;0.2172;0.1848;0.1728;0.1696;0.1612
