action = 0;action = 180
-0.2398;-3.0424
19.7205;29.4720
-12.0370;52.4838
-1.6427;59.0164
-21.5356;65.8698
-25.2847;64.7744
-21.1009;63.2267
-16.7901;54.3198
-44.3069;65.8874
-47.4860;64.0523
-60.0000;64.1135
-61.0422;65.9037
-80.3279;69.0722
-66.5714;63.1628
-59.5679;66.1305
-68.4375;64.6789
-59.7360;63.9508
-75.4601;63.0635
-81.5182;65.4529
-60.2649;60.4641
-62.1053;61.7607
-82.7243;65.9845
-111.4007;59.3707
-133.4532;61.8812
-164.1732;61.3090
-100.0000;57.2004
-158.2996;62.8939
-102.1368;57.7670
-131.3305;59.7265
-127.4262;63.5440
-192.4051;65.4883
-167.2897;66.7979
-147.8873;67.2934
-133.3333;72.8515
-133.0049;65.0414
-131.3084;66.3167
-230.0000;74.0611
-165.5172;65.5202
-211.9403;71.7703
-156.6667;65.8621
-194.2675;63.3803
-197.7901;69.1677
-204.4025;60.5297
-266.6667;67.4528
-292.3977;64.5771
-257.8313;60.4113
-212.4260;70.2703
-181.5476;66.5094
-223.9264;65.1690
-287.8205;67.6195
-240.6452;70.9168
-210.4294;71.7587
-245.0980;70.4729
-231.5068;69.6262
-319.0476;62.1334
-253.8462;59.8642
-324.8276;61.6985
-284.6154;62.1977
-351.6556;64.4104
-340.0000;62.8692
-314.4928;62.7434
-236.3636;66.2463
-351.9380;69.8439
-242.7536;66.0034
-402.3622;68.9423
-332.4786;62.6102
-331.2000;68.9684
-351.9380;66.5964
-372.6563;61.0455
-479.4643;59.0034
-393.8776;64.0034
-415.0794;58.7616
-422.9508;63.4567
-445.2991;62.1486
-397.3913;61.2579
-492.3077;60.7637
-384.7458;55.2057
-400.0000;58.5774
-428.3465;64.7703
-387.8261;61.2579
-387.8261;58.9518
-382.4561;56.2028
-338.2114;59.2764
-371.4286;69.3283
-372.7273;65.7839
-345.9459;64.5458
-413.3333;68.3721
-407.6923;62.8130
-464.8649;66.3876
-440.3509;57.5859
-388.8889;63.3951
-417.6471;64.1709
-409.2593;60.4515
-341.8803;61.6869
-293.5780;58.5947
-368.6957;60.3354
-406.9565;66.3312
-458.5938;65.6830
-400.8130;66.6807
-514.1667;60.2521
-365.3846;65.6540
-411.4035;64.9623
-408.4034;64.4267
-384.7458;67.6742
-358.3333;70.7348
-303.6697;67.3358
-347.7876;66.8203
-402.5862;70.0084
-393.1034;67.7013
-436.1345;65.3507
-464.1026;68.1494
-398.5612;68.7844
-502.3810;67.5653
-391.6667;64.6959
-390.9091;63.9344
-392.3810;66.4718
-445.2174;68.1761
-355.8559;63.6249
-347.7876;61.2903
-529.9145;66.7646
-459.0164;63.4567
-370.2290;67.4968
-436.3636;62.5473
-434.8624;65.4956
-415.0794;64.3218
-347.4576;62.1327
-429.6296;64.6512
-346.6165;63.2869
-427.2727;62.5473
-423.8095;65.7119
-382.1918;65.4206
-385.2941;69.7547
-473.9130;70.6605
-391.8699;64.3668
-396.2406;66.0752
-417.0940;59.8405
-430.7692;61.7310
-493.6508;67.1019
-414.6789;60.8950
-426.8908;67.1987
-496.8992;66.5964
-352.4194;60.1852
-367.5000;60.7143
-440.3509;62.6572
-458.7302;61.5417
-478.4483;61.2416
-450.0000;65.4792
-404.5113;59.5691
-368.8525;63.4567
-423.3871;66.2037
-325.0000;65.1605
-367.5000;64.8739
-355.4688;66.1467
-290.9091;65.3216
-361.5385;68.7314
-412.2137;71.2115
-400.0000;74.7985
-340.0000;67.9747
-361.0294;70.6853
-417.0940;64.4566
-361.8321;65.1752
-395.4198;71.6758
-364.4444;65.1163
-378.6260;69.3542
-341.5493;70.1442
-234.7826;66.0034
-355.1724;66.7785
-379.0323;67.1296
-350.3937;68.0152
-331.5385;65.1899
-373.8462;67.0464
-323.0769;65.6540
-319.4245;69.2503
-341.7323;67.0881
-343.5484;64.8148
-409.7561;66.2179
-436.5854;66.2179
-323.7705;70.3953
-361.0294;66.0321
-404.1667;67.1849
-427.6423;65.2924
-313.5338;66.0752
-282.9630;65.5814
-381.2500;68.2513
-362.3188;67.4005
-340.0000;63.2558
-326.7241;64.9329
-410.4000;70.8211
-425.0000;65.6250
-485.6115;71.5798
-381.7518;65.5523
-424.6154;63.3333
-387.9699;67.4694
-348.1481;68.3721
-410.1449;72.0576
-389.7810;66.0178
-433.8235;71.6159
-366.6667;67.0186
-292.3077;64.0645
-312.5000;66.1467
-326.0563;63.6132
-326.3566;64.2767
-388.8889;66.3837
