action = 0;action = 90;action = 180;action = 270
0.2356;0.2652;0.2476;0.2516
0.08;0.334;0.2884;0.2976
0.0684;0.3404;0.2952;0.296
0.0708;0.3412;0.2948;0.2932
0.0552;0.3388;0.3024;0.3036
0.0632;0.3368;0.2996;0.3004
0.0572;0.3308;0.3208;0.2912
0.0512;0.332;0.3192;0.2976
0.0532;0.3328;0.3148;0.2992
0.0528;0.3288;0.3228;0.2956
0.0512;0.3356;0.322;0.2912
0.048;0.3232;0.3312;0.2976
0.042;0.3236;0.3332;0.3012
0.0428;0.3208;0.3384;0.298
0.0484;0.3236;0.336;0.292
0.0456;0.3204;0.3436;0.2904
0.0472;0.3172;0.3428;0.2928
0.0428;0.3204;0.3492;0.2876
0.0532;0.3172;0.3444;0.2852
0.0484;0.322;0.3456;0.284
0.0432;0.3132;0.3532;0.2904
0.0408;0.3176;0.3516;0.29
0.0488;0.3076;0.3572;0.2864
0.0436;0.3084;0.3532;0.2948
0.0444;0.308;0.3552;0.2924
0.0432;0.3048;0.3616;0.2904
0.0448;0.3072;0.3652;0.2828
0.046;0.2964;0.3684;0.2892
0.0548;0.2888;0.3676;0.2888
0.0512;0.2944;0.3756;0.2788
0.0476;0.296;0.3752;0.2812
0.0492;0.29;0.384;0.2768
0.052;0.2904;0.386;0.2716
0.0588;0.2812;0.392;0.268
0.0512;0.2904;0.3888;0.2696
0.0524;0.2848;0.388;0.2748
0.0568;0.2796;0.3916;0.272
0.058;0.2764;0.3948;0.2708
0.0572;0.2676;0.4004;0.2748
0.0544;0.2712;0.4024;0.272
0.0532;0.2708;0.4044;0.2716
0.0552;0.272;0.4032;0.2696
0.0472;0.278;0.4052;0.2696
0.0528;0.2704;0.4032;0.2736
0.0476;0.2724;0.4128;0.2672
0.048;0.2708;0.4056;0.2756
0.0528;0.2748;0.4096;0.2628
0.0556;0.2684;0.4148;0.2612
0.052;0.2708;0.4068;0.2704
0.0576;0.2708;0.4092;0.2624
0.0464;0.2748;0.4172;0.2616
0.058;0.2772;0.406;0.2588
0.046;0.2672;0.4232;0.2636
0.0472;0.2688;0.4252;0.2588
0.05;0.2772;0.4184;0.2544
0.054;0.268;0.4232;0.2548
0.0548;0.2672;0.4256;0.2524
0.0512;0.2716;0.4244;0.2528
0.048;0.2668;0.4236;0.2616
0.0548;0.2664;0.4292;0.2496
0.058;0.2732;0.4212;0.2476
0.052;0.2764;0.4244;0.2472
0.0556;0.2692;0.4272;0.248
0.056;0.2752;0.4168;0.252
0.0544;0.2696;0.4212;0.2548
0.0624;0.2652;0.4244;0.248
0.0516;0.2652;0.4316;0.2516
0.0628;0.2592;0.432;0.246
0.0556;0.2652;0.4368;0.2424
0.0508;0.2708;0.4336;0.2448
0.0492;0.268;0.44;0.2428
0.048;0.2644;0.4348;0.2528
0.0564;0.2584;0.4356;0.2496
0.0512;0.2592;0.4424;0.2472
0.054;0.2632;0.4344;0.2484
0.0472;0.2608;0.4336;0.2584
0.046;0.2636;0.4452;0.2452
0.0532;0.26;0.4372;0.2496
0.05;0.26;0.4412;0.2488
0.044;0.2568;0.4444;0.2548
0.0508;0.258;0.4412;0.25
0.0568;0.2624;0.436;0.2448
0.0576;0.2576;0.4392;0.2456
0.0492;0.2568;0.4416;0.2524
0.056;0.2532;0.4384;0.2524
0.0468;0.2544;0.4444;0.2544
0.0504;0.2476;0.4544;0.2476
0.0496;0.246;0.4504;0.254
0.0444;0.2444;0.4576;0.2536
0.0532;0.2456;0.4484;0.2528
0.0484;0.2452;0.4512;0.2552
0.0424;0.2456;0.4604;0.2516
0.0464;0.2492;0.4556;0.2488
0.0536;0.2444;0.4536;0.2484
0.0468;0.2468;0.4544;0.252
0.0484;0.2452;0.468;0.2384
0.0496;0.2472;0.4552;0.248
0.0456;0.2504;0.4656;0.2384
0.054;0.2428;0.464;0.2392
0.0468;0.2512;0.4664;0.2356
0.0508;0.242;0.4608;0.2464
0.0528;0.2436;0.4644;0.2392
0.0524;0.2464;0.4612;0.24
0.052;0.244;0.466;0.238
0.0492;0.2484;0.4612;0.2412
0.048;0.2468;0.4724;0.2328
0.0504;0.2452;0.466;0.2384
0.0524;0.2456;0.46;0.242
0.052;0.2348;0.4724;0.2408
0.0464;0.2452;0.4688;0.2396
0.0492;0.2416;0.468;0.2412
0.0592;0.238;0.4648;0.238
0.0516;0.2384;0.4752;0.2348
0.0448;0.2332;0.482;0.24
0.0488;0.2408;0.4664;0.244
0.058;0.2332;0.48;0.2288
0.0476;0.2384;0.4812;0.2328
0.0492;0.2364;0.478;0.2364
0.0552;0.2372;0.4768;0.2308
0.0536;0.2348;0.472;0.2396
0.0464;0.2324;0.4876;0.2336
0.0504;0.2292;0.4852;0.2352
0.0516;0.2368;0.4844;0.2272
0.0468;0.2332;0.4868;0.2332
0.0508;0.238;0.4864;0.2248
0.0464;0.228;0.4964;0.2292
0.0488;0.228;0.4984;0.2248
0.0548;0.2276;0.4868;0.2308
0.0544;0.2296;0.4856;0.2304
0.052;0.2408;0.4868;0.2204
0.0508;0.2372;0.486;0.226
0.0488;0.2344;0.4932;0.2236
0.0524;0.2396;0.4828;0.2252
0.0472;0.234;0.5016;0.2172
0.0476;0.2352;0.4956;0.2216
0.0552;0.2352;0.4924;0.2172
0.0536;0.2272;0.4952;0.224
0.0524;0.228;0.4976;0.222
0.0484;0.2276;0.502;0.222
0.05;0.2372;0.494;0.2188
0.0536;0.2308;0.4988;0.2168
0.0512;0.2304;0.5028;0.2156
0.05;0.2272;0.4968;0.226
0.0492;0.2304;0.5024;0.218
0.05;0.2316;0.4996;0.2188
0.0532;0.2248;0.5072;0.2148
0.0464;0.226;0.506;0.2216
0.0428;0.2244;0.5152;0.2176
0.0456;0.2336;0.5084;0.2124
0.0496;0.2252;0.512;0.2132
0.0432;0.2208;0.5148;0.2212
0.0452;0.2276;0.5128;0.2144
0.0444;0.2208;0.516;0.2188
0.0416;0.222;0.5252;0.2112
0.0444;0.2284;0.5204;0.2068
0.0464;0.2284;0.5104;0.2148
0.0472;0.2224;0.5192;0.2112
0.0452;0.2208;0.5212;0.2128
0.046;0.22;0.5212;0.2128
0.0512;0.2164;0.522;0.2104
0.0464;0.212;0.5252;0.2164
0.0412;0.2092;0.5316;0.218
0.0432;0.2176;0.5264;0.2128
0.0456;0.2132;0.5284;0.2128
0.0512;0.2124;0.5276;0.2088
0.0404;0.2148;0.5332;0.2116
0.0504;0.2148;0.5324;0.2024
0.0428;0.2128;0.5328;0.2116
0.0456;0.2124;0.5316;0.2104
0.0388;0.2196;0.532;0.2096
0.0544;0.2052;0.5284;0.212
0.0428;0.2152;0.5344;0.2076
0.0416;0.2224;0.5312;0.2048
0.0388;0.2112;0.5332;0.2168
0.0436;0.2136;0.5324;0.2104
0.0452;0.2116;0.5292;0.214
0.0408;0.2124;0.5348;0.212
0.0416;0.2104;0.5336;0.2144
0.038;0.216;0.5296;0.2164
0.0472;0.2092;0.5344;0.2092
0.0424;0.2088;0.5392;0.2096
0.048;0.206;0.532;0.214
0.0456;0.2108;0.5352;0.2084
0.0444;0.2136;0.5328;0.2092
0.0448;0.2004;0.5436;0.2112
0.0496;0.1992;0.5404;0.2108
0.0396;0.2092;0.5392;0.212
0.0384;0.208;0.538;0.2156
0.0424;0.2112;0.5296;0.2168
0.0372;0.214;0.5424;0.2064
0.0364;0.2144;0.5368;0.2124
0.0408;0.2116;0.5348;0.2128
0.0424;0.2112;0.544;0.2024
0.0416;0.2144;0.5396;0.2044
0.0396;0.2124;0.5408;0.2072
0.04;0.2128;0.5344;0.2128
0.0472;0.2124;0.5408;0.1996
0.0404;0.2064;0.5404;0.2128
0.0412;0.206;0.5404;0.2124
0.0388;0.2048;0.5484;0.208
0.0364;0.2136;0.5444;0.2056
0.0432;0.2116;0.5436;0.2016
0.0448;0.2036;0.5424;0.2092
0.0448;0.208;0.5448;0.2024
0.0476;0.2148;0.536;0.2016
0.0444;0.2064;0.54;0.2092
0.04;0.2076;0.5456;0.2068
0.0472;0.2032;0.5436;0.206
0.0364;0.2076;0.5416;0.2144
0.038;0.2056;0.5472;0.2092
0.0456;0.2048;0.544;0.2056
0.04;0.2068;0.5448;0.2084
0.0416;0.2084;0.542;0.208
0.0452;0.202;0.5508;0.202
0.0368;0.2068;0.5528;0.2036
0.0404;0.2092;0.5452;0.2052
0.0456;0.2;0.55;0.2044
0.0404;0.204;0.546;0.2096
0.0488;0.208;0.5356;0.2076
0.0392;0.208;0.5456;0.2072
0.0424;0.2072;0.546;0.2044
0.0428;0.2028;0.5476;0.2068
0.0356;0.2168;0.5456;0.202
0.042;0.2124;0.5472;0.1984
0.0376;0.2088;0.5576;0.196
0.0428;0.2024;0.5448;0.21
0.0404;0.2056;0.5456;0.2084
0.0424;0.2016;0.5532;0.2028
0.0468;0.2088;0.548;0.1964
0.0384;0.2036;0.5588;0.1992
0.0372;0.2068;0.5544;0.2016
0.0432;0.204;0.558;0.1948
0.038;0.2068;0.5544;0.2008
0.0412;0.2108;0.5504;0.1976
0.0428;0.2092;0.55;0.198
0.034;0.2032;0.558;0.2048
0.036;0.1996;0.5612;0.2032
0.038;0.2088;0.5548;0.1984
0.04;0.2052;0.5544;0.2004
0.0468;0.204;0.5492;0.2
0.0384;0.2052;0.5612;0.1952
0.0412;0.2044;0.5568;0.1976
0.0428;0.1984;0.5596;0.1992
0.0416;0.2008;0.5632;0.1944
0.038;0.2048;0.566;0.1912
0.0376;0.2048;0.5604;0.1972
0.0416;0.1992;0.5616;0.1976
0.0436;0.2004;0.5596;0.1964
0.0368;0.2036;0.562;0.1976
0.0424;0.1956;0.5704;0.1916
0.0416;0.198;0.5668;0.1936
0.0416;0.1916;0.5732;0.1936
0.0428;0.202;0.5692;0.186
0.0364;0.1908;0.5768;0.196
0.046;0.1948;0.5684;0.1908
0.0372;0.196;0.5748;0.192
0.0392;0.1948;0.5752;0.1908
0.046;0.188;0.5704;0.1956
0.0376;0.196;0.5744;0.192
0.0384;0.194;0.578;0.1896
0.0412;0.194;0.5736;0.1912
0.0388;0.1912;0.5736;0.1964
0.0412;0.196;0.5732;0.1896
0.0372;0.1896;0.58;0.1932
0.0328;0.1936;0.5808;0.1928
0.0388;0.1928;0.5752;0.1932
0.0388;0.1952;0.5688;0.1972
0.0372;0.198;0.5728;0.192
0.0396;0.188;0.574;0.1984
0.0432;0.192;0.576;0.1888
0.0368;0.1944;0.5768;0.192
0.0372;0.192;0.5684;0.2024
0.0352;0.1912;0.5796;0.194
0.0348;0.1896;0.578;0.1976
0.0396;0.1876;0.5784;0.1944
0.0364;0.1856;0.5884;0.1896
0.0412;0.1824;0.5896;0.1868
0.0304;0.1932;0.5864;0.19
0.0336;0.19;0.5884;0.188
0.0352;0.1904;0.5896;0.1848
0.0336;0.19;0.586;0.1904
0.0324;0.1884;0.5872;0.192
0.0284;0.1928;0.59;0.1888
0.03;0.1864;0.5952;0.1884
0.0268;0.194;0.5868;0.1924
0.022;0.1928;0.5932;0.192
0.032;0.19;0.5988;0.1792
0.034;0.1912;0.5872;0.1876
0.0256;0.1888;0.6;0.1856
0.0328;0.1932;0.594;0.18
0.0308;0.1896;0.594;0.1856
0.0336;0.188;0.5964;0.182
0.0288;0.192;0.5988;0.1804
0.0272;0.1908;0.6016;0.1804
0.0288;0.1984;0.5944;0.1784
0.0276;0.1924;0.6012;0.1788
0.0304;0.1912;0.5892;0.1892
0.0356;0.1912;0.596;0.1772
0.032;0.1928;0.5948;0.1804
0.0312;0.192;0.6;0.1768
0.0296;0.188;0.6004;0.182
0.028;0.1848;0.5984;0.1888
0.0304;0.18;0.6032;0.1864
0.0292;0.1852;0.6;0.1856
0.0288;0.1864;0.6008;0.184
0.0276;0.1872;0.6076;0.1776
0.0276;0.1844;0.6064;0.1816
0.0292;0.1816;0.6092;0.18
0.026;0.1836;0.6088;0.1816
0.0288;0.18;0.6008;0.1904
0.03;0.1832;0.6056;0.1812
0.03;0.1836;0.608;0.1784
0.0244;0.1868;0.6112;0.1776
0.0296;0.184;0.6092;0.1772
0.0224;0.1904;0.6128;0.1744
0.0324;0.1824;0.6108;0.1744
0.0348;0.1812;0.6096;0.1744
0.026;0.1816;0.6108;0.1816
0.0268;0.1816;0.6128;0.1788
0.0276;0.1836;0.6128;0.176
0.0284;0.1896;0.6088;0.1732
0.0284;0.1852;0.6128;0.1736
0.0272;0.1836;0.6144;0.1748
0.028;0.1788;0.6184;0.1748
0.0256;0.1836;0.6108;0.18
0.0308;0.182;0.614;0.1732
0.0324;0.182;0.616000000000001;0.1696
0.0244;0.1848;0.616;0.1748
0.032;0.1836;0.6112;0.1732
0.03;0.1776;0.6168;0.1756
0.0248;0.184;0.6152;0.176
0.0308;0.1804;0.616;0.1728
0.0292;0.1856;0.6164;0.1688
0.0264;0.1824;0.6212;0.17
0.0304;0.1804;0.6108;0.1784
0.0308;0.1828;0.6204;0.166
0.03;0.1776;0.6224;0.17
0.0276;0.1772;0.6268;0.1684
0.0248;0.1816;0.6276;0.166
0.0256;0.1788;0.6216;0.174
0.028;0.1828;0.62;0.1692
0.03;0.1812;0.618;0.1708
0.0268;0.1824;0.6208;0.17
0.0256;0.1792;0.624;0.1712
0.0216;0.1852;0.6184;0.1748
0.0268;0.184;0.6224;0.1668
0.024;0.1824;0.622;0.1716
0.0264;0.182;0.6244;0.1672
0.0256;0.1812;0.6256;0.1676
0.0268;0.1752;0.6296;0.1684
0.0216;0.1828;0.628;0.1676
0.0284;0.178;0.6224;0.1712
0.03;0.1804;0.6184;0.1712
0.026;0.1752;0.626800000000001;0.172
0.0252;0.176;0.626400000000001;0.1724
0.0296;0.1792;0.6268;0.1644
0.0292;0.1824;0.6236;0.1648
0.0256;0.1792;0.6304;0.1648
0.0304;0.1772;0.626;0.1664
0.03;0.1784;0.6284;0.1632
0.0248;0.1748;0.6324;0.168
0.0304;0.178;0.6312;0.1604
0.03;0.1776;0.6332;0.1592
0.0264;0.176;0.6368;0.1608
0.0268;0.1828;0.630800000000001;0.1596
0.0248;0.1824;0.6308;0.162
0.0212;0.1752;0.6404;0.1632
0.0272;0.1728;0.6368;0.1632
0.0296;0.1776;0.6416;0.1512
0.028;0.1752;0.6348;0.162
0.028;0.1692;0.638;0.1648
0.0268;0.1728;0.639600000000001;0.1608
0.022;0.1768;0.6392;0.162
0.026;0.1724;0.6384;0.1632
0.0232;0.176;0.6456;0.1552
0.0264;0.168;0.6476;0.158
0.0276;0.1748;0.6412;0.1564
0.0344;0.1664;0.6428;0.1564
0.0268;0.1692;0.6432;0.1608
0.03;0.1696;0.646;0.1544
0.0276;0.172;0.6408;0.1596
0.0256;0.1724;0.6488;0.1532
0.0256;0.1788;0.6404;0.1552
0.0284;0.1692;0.644;0.1584
0.0268;0.1684;0.6412;0.1636
0.0328;0.166;0.6436;0.1576
0.0268;0.1644;0.6512;0.1576
0.0324;0.1672;0.6448;0.1556
0.03;0.1644;0.6488;0.1568
0.0284;0.1628;0.6524;0.1564
0.0256;0.1632;0.6492;0.162
0.032;0.1576;0.6468;0.1636
0.0304;0.162;0.6456;0.162
0.0248;0.1596;0.6576;0.158
0.03;0.1596;0.6456;0.1648
0.03;0.1556;0.6524;0.162
0.0256;0.164;0.6508;0.1596
0.0188;0.1636;0.6512;0.1664
0.0288;0.1628;0.6472;0.1612
0.0276;0.1648;0.649600000000001;0.158
0.02;0.1656;0.6512;0.1632
0.0268;0.1676;0.6488;0.1568
0.0248;0.1656;0.6492;0.1604
0.0232;0.1604;0.647600000000001;0.1688
0.0204;0.1684;0.6492;0.162
0.0284;0.1616;0.6512;0.1588
0.024;0.1616;0.6528;0.1616
0.0212;0.1656;0.65;0.1632
0.0264;0.1704;0.648;0.1552
0.0272;0.1676;0.6464;0.1588
0.0264;0.1688;0.648;0.1568
0.0272;0.1624;0.649600000000001;0.1608
0.024;0.164;0.6464;0.1656
0.0236;0.1724;0.6488;0.1552
0.0244;0.1676;0.648;0.16
0.0244;0.1656;0.6504;0.1596
0.0236;0.1672;0.6508;0.1584
0.0228;0.1712;0.6528;0.1532
0.0248;0.164;0.6472;0.164
0.0256;0.1704;0.646;0.158
0.024;0.166;0.648000000000001;0.162
0.0268;0.1624;0.6484;0.1624
0.0316;0.1624;0.6476;0.1584
0.0232;0.1656;0.6528;0.1584
0.03;0.164;0.6528;0.1532
0.0232;0.1632;0.6612;0.1524
0.024;0.1668;0.652;0.1572
0.0256;0.1624;0.658000000000001;0.154
0.026;0.1664;0.6576;0.15
0.0208;0.1628;0.6632;0.1532
0.0272;0.1588;0.6612;0.1528
0.0236;0.162;0.6612;0.1532
0.0248;0.164;0.6544;0.1568
0.0244;0.1676;0.6488;0.1592
0.0264;0.1652;0.6508;0.1576
0.024;0.168;0.6568;0.1512
0.0248;0.1636;0.658;0.1536
0.024;0.1684;0.654;0.1536
0.028;0.1628;0.6548;0.1544
0.0236;0.1576;0.6592;0.1596
0.03;0.1612;0.654;0.1548
0.0276;0.1568;0.6572;0.1584
0.0288;0.1556;0.6564;0.1592
0.028;0.1592;0.6592;0.1536
0.0252;0.1564;0.6608;0.1576
0.0296;0.1564;0.664;0.15
0.0252;0.158;0.6624;0.1544
0.0248;0.1616;0.6616;0.152
0.0264;0.1568;0.6656;0.1512
0.0248;0.1584;0.6652;0.1516
0.0276;0.1568;0.6664;0.1492
0.028;0.1564;0.664400000000001;0.1512
0.0256;0.1588;0.666;0.1496
0.0256;0.1632;0.6636;0.1476
0.0232;0.1664;0.6644;0.146
0.026;0.1548;0.668;0.1512
0.0288;0.1556;0.666;0.1496
0.0212;0.1612;0.6684;0.1492
0.0264;0.1604;0.668400000000001;0.1448
0.0236;0.1608;0.6632;0.1524
0.0268;0.162;0.6664;0.1448
0.026;0.1604;0.6656;0.148
0.0284;0.1644;0.6668;0.1404
0.026;0.1536;0.6712;0.1492
0.024;0.1572;0.6752;0.1436
