action = 0;action = 90;action = 180;action = 270
-26.9949;-12.8205;-31.5024;2.0668
-59.5000;2.5150;40.4993;11.2903
-9.3567;12.1034;26.9648;24.1892
25.4237;32.9426;46.2687;14.4611
-27.5362;29.8701;44.7090;37.6812
-25.3165;30.7601;55.9413;28.2290
-15.3846;34.8247;41.0224;30.4945
-3.1250;25.7831;51.7544;26.0753
0.7519;20.6731;37.1029;17.6471
8.3333;22.3844;45.4771;25.5751
-28.9063;25.2682;53.5404;44.0934
17.5000;46.9059;57.4879;33.4677
-15.2381;32.0148;45.8583;15.2722
-33.6449;21.8204;47.9905;17.3154
-72.7273;6.1805;42.3810;2.0548
22.8070;18.9763;30.8498;9.0909
-58.4746;33.4174;34.5391;17.3497
-74.7664;23.0961;29.4387;17.3853
17.2932;16.7718;25.9001;29.0323
-72.7273;22.1118;40.1620;11.6901
-52.7778;0.2554;37.7123;-12.1212
-50.9804;-12.2166;43.6860;-0.1379
27.8689;-1.5605;28.5554;-10.6145
-21.1009;7.2633;41.4496;10.4478
-48.6486;-8.5714;31.8694;-6.8399
18.5185;6.1680;41.5929;-9.0909
-76.7857;15.4948;55.4217;11.3154
-24.3478;24.2915;34.3105;10.2351
-12.4088;17.7285;55.7127;11.6343
-63.2813;5.8424;44.9414;-7.3171
-84.8739;-5.5405;47.2281;-11.0953
-52.0325;-9.2414;47.2917;-1.7341
-26.9231;-6.0606;39.5855;-3.6819
-72.1088;-1.7070;37.1429;16.2687
-54.6875;-13.6364;40.0206;2.0772
-17.5573;-12.7809;37.6289;-10.4803
-93.6620;-19.5994;24.7191;2.9412
-21.3793;-6.6570;28.6727;-2.3634
-115.3846;11.2108;32.9670;-24.8908
-21.3235;-5.4572;28.9264;-6.7647
-57.1429;5.7607;33.6301;-16.6421
-43.4783;-11.6176;27.9762;-12.6113
16.1017;-29.7842;40.2764;-27.2997
-91.6667;-28.5503;34.5238;-14.1813
-84.8739;-0.1468;23.2558;-20.2096
-74.1667;-3.9882;34.9112;10.5951
-58.3333;-18.4862;15.1367;12.9376
-26.6187;16.3934;19.3828;-6.1256
-60.7692;2.5111;15.6342;-9.0237
-52.7778;-25.1108;21.5054;-7.3171
-127.5862;-13.6827;24.0652;-7.6453
-44.1379;1.5873;32.8079;-41.1128
-62.6087;-7.0359;25.1418;-13.5053
-95.7627;-6.3988;20.3198;-17.3107
-58.4000;1.5873;33.7476;-10.6918
-5.9259;1.4925;43.8563;1.5699
-44.5255;7.7844;31.7669;4.1204
-11.7188;-18.2622;27.4270;4.2722
-83.3333;-13.7931;28.3286;-4.2813
-36.4964;-9.0090;21.0624;-23.3974
-66.8966;-20.7906;24.7863;-19.0630
-94.6154;-8.2489;38.8313;2.1036
5.0360;-19.3165;33.0524;11.2903
-33.5714;-0.7267;45.1056;-1.2698
-77.9412;-12.6113;34.1880;-8.7912
-33.9744;-1.2066;32.6107;-1.1290
-53.4884;-4.5249;44.9490;14.3084
-68.1529;6.6358;34.8148;3.4146
-34.5324;13.7255;32.5092;11.0561
-21.2598;-12.1123;43.1734;11.9281
-96.7480;4.7761;30.0000;11.2026
-74.1667;5.1437;21.0672;-23.5759
-126.2411;-7.2755;7.0707;10.0962
-11.7188;-6.9444;24.4123;14.5631
-46.6667;-20.3647;25.0460;-18.6795
-11.8644;-23.1595;16.7897;-12.3839
-72.1739;-28.5281;16.9811;-13.0506
-115.0376;-20.1538;22.5069;4.8077
-76.0000;-13.3846;27.1985;-13.1833
-70.0000;-13.0841;16.8317;-12.2449
-47.2441;4.4961;19.2203;-19.6800
-85.9155;-22.4085;33.3945;-18.6275
-29.8611;-17.8571;29.8725;-9.2834
-60.9756;-19.9377;22.2826;-18.5420
-112.1429;-32.0695;19.7080;-30.7448
-116.2393;-17.6101;16.8317;-21.0692
-118.2540;-10.1777;43.8380;-38.6107
-68.5484;-19.8374;44.3162;-31.6535
-9.0090;-24.2226;47.1154;-9.3060
-48.8722;-12.8664;52.8992;-21.8354
-45.4545;17.4551;46.3652;1.7241
-66.0377;5.0489;48.3927;-24.1653
-13.7931;4.6549;45.9175;11.5756
-64.1791;-2.6187;46.6490;-13.3655
-88.0342;-17.6661;43.8380;-13.4921
-63.6364;-13.0506;38.8889;-18.1208
-50.8065;12.7832;49.7364;-10.0000
-102.6316;17.4121;38.5739;-8.8926
-14.0741;-6.9193;23.1897;0.6689
-69.2308;-15.6051;36.7925;-13.9219
-12.5984;-23.6364;36.0243;-30.3571
-100.0000;-24.6305;43.1525;-14.0468
